Placa,Codigo Verificacion Placa,Fecha_Emision,Año.del.Permiso,Pago Fisico,Cuotas Permiso,Codigo_SII,Comuna_Propietario,Comuna_Permiso,Valor_Contado,Total_a_Pagar,Año_Fabricacion,TipoVehiculo,Marca,Modelo,Cilindrada,Equipamiento,Combustible,Transmision,Tonelaje,Comuna_Anterior,Comuna_Anterior,Comuna_rev,Fecha_Vencimiento
DHJG-37,8,2021-05-12,2021,Pagado internet,Total,CT225001611,COYHAIQUE,RIO IBAÑEZ,26038,26980,2011,CAMIONETA,SSANGYONG,A.SPORTS,2000,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BSPP-14,8,2021-04-01,2021,Pagado internet,Total,CT176023808,COYHAIQUE,RIO IBAÑEZ,25489,25923,2008,CAMIONETA,NISSAN,TERRANO PICK UP/DXS,2500,Norm,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HRKC-33,4,2021-03-31,2021,Pagado internet,1ra. Cuota,CT166006616,COYHAIQUE,RIO IBAÑEZ,72607,36304,2016,CAMIONETA,MITSUBISHI,L200,2400,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
HDHH-15,5,2021-03-15,2021,Pagado internet,Total,SD176022105,COYHAIQUE,RIO IBAÑEZ,25489,25489,2005,AUTOMOVIL,NISSAN,V16 STANDAR,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FYJJ-32,2,2021-03-31,2021,Pagado internet,Total,CT166006014,COYHAIQUE,RIO IBAÑEZ,42881,42881,2014,CAMIONETA,MITSUBISHI,L200,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GCTT-89,7,2021-04-08,2021,Pagado internet,1ra. Cuota,SU160004614,COYHAIQUE,RIO IBAÑEZ,130896,66563,2014,STATION WAGON,MAZDA,CX5 R 2WD 6MT,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
GCTT-89,7,2021-09-03,2021,Pagado internet,2da. Cuota,SU160004614,COYHAIQUE,RIO IBAÑEZ,130896,68987,2014,STATION WAGON,MAZDA,CX5 R 2WD 6MT,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GXXT-51,9,2021-09-06,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,78242,78242,2015,TRACTOCAMION,FREIGHTLINER,CL 112,NULL,EQUI,DIES,MEC,16421,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
JP-4743,2,2021-09-06,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,78242,78242,2014,SEMI REMOLQUE,RANDON,SR TQ TL 03 33,NULL,NULL,NULL,NULL,30000,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
JLYG-17,7,2021-03-19,2021,Pagado internet,Total,HB162002717,COYHAIQUE,RIO IBAÑEZ,74032,74032,2017,AUTOMOVIL,MERCEDES BENZ,B,1600,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LGVL-66,3,2021-03-15,2021,Pagado internet,1ra. Cuota,SU141017419,COYHAIQUE,RIO IBAÑEZ,247825,123913,2019,STATION WAGON,LAND ROVER,DISCOVERY,2000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
HXYJ-54,1,2021-03-30,2021,Pagado internet,Total,SU106004116,COYHAIQUE,RIO IBAÑEZ,60803,60802,2016,STATION WAGON,HONDA,CR-V,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HXZR-86,3,2021-04-09,2021,Pagado internet,1ra. Cuota,CT166006716,COYHAIQUE,RIO IBAÑEZ,81747,41570,2016,CAMIONETA,MITSUBISHI,L200,2400,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
HXZR-86,3,2021-09-24,2021,Pagado internet,2da. Cuota,CT166006716,COYHAIQUE,RIO IBAÑEZ,81747,43084,2016,CAMIONETA,MITSUBISHI,L200,2400,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LKFX-70,7,2021-03-31,2021,Pagado internet,Total,CT160012019,COYHAIQUE,RIO IBAÑEZ,130614,130614,2019,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
TY-3879,4,2021-05-31,2021,Pagado internet,Total,CT235003601,COYHAIQUE,RIO IBAÑEZ,25489,26411,2001,CAMIONETA,TOYOTA,HILUX,2400,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
ZX-4326,K,2021-03-31,2021,Pagado internet,Total,VN166003106,COYHAIQUE,RIO IBAÑEZ,25489,25489,2006,STATION WAGON,MITSUBISHI,MONTERO,2500,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LZBL-77,5,2021-04-01,2021,Pagado internet,Total,SU229029019,COYHAIQUE,RIO IBAÑEZ,60052,61075,2019,JEEP,SUZUKI,GRAND VITARA,2400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GLJZ-79,K,2021-04-13,2021,Pagado internet,Total,VN235004914,COYHAIQUE,RIO IBAÑEZ,61553,62601,2014,STATION WAGON,TOYOTA,4RUNNER,4000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HGXH-83,4,2021-03-30,2021,Pagado internet,Total,SU227043415,COYHAIQUE,RIO IBAÑEZ,88385,88385,2015,STATION WAGON,SUBARU,OUTBACK 2.5I LIMITED,2500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JRJL-90,6,2021-03-30,2021,Pagado internet,Total,CT106000617,COYHAIQUE,RIO IBAÑEZ,198766,198766,2017,CAMIONETA,HONDA,RIDGELINE RTL 3.5 AUT. 4X4,3500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GJRF-73,2,2021-03-27,2021,Pagado internet,Total,SU132006404,COYHAIQUE,RIO IBAÑEZ,25489,25489,2004,STATION WAGON,KIA MOTORS,SORENTO,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DBCV-85,8,2021-03-31,2021,Pagado internet,Total,SU176017805,COYHAIQUE,RIO IBAÑEZ,30523,25489,2005,STATION WAGON,NISSAN,AD VAN 2.5,2500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
SK-2391,9,2021-04-05,2021,Pagado internet,Total,SU121000698,COYHAIQUE,RIO IBAÑEZ,25489,25923,1998,JEEP,JEEP,WRANGLER ABS,2500,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JWGF-16,2,2021-03-31,2021,Pagado internet,Total,HB229015218,COYHAIQUE,RIO IBAÑEZ,25489,25489,2018,AUTOMOVIL,SUZUKI,ALTO,1000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GJPD-15,8,2021-04-01,2021,Pagado internet,Total,SU235007414,COYHAIQUE,RIO IBAÑEZ,54422,55349,2014,STATION WAGON,TOYOTA,ADVANTAGE RAV4 LIMITED 4X2,2500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GXJL-96,0,2021-03-31,2021,Pagado internet,1ra. Cuota,CT235013715,COYHAIQUE,RIO IBAÑEZ,62210,31105,2015,CAMIONETA,TOYOTA,HILUX,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
GXJL-96,0,2021-08-31,2021,Pagado internet,2da. Cuota,CT235013715,COYHAIQUE,RIO IBAÑEZ,62210,31509,2015,CAMIONETA,TOYOTA,HILUX,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HKZS-77,5,2021-04-01,2021,Pago Fisico,Total,CT047000616,RIO IBAÑEZ,RIO IBAÑEZ,25489,25871,2016,CAMIONETA,CHANGAN,MS201 DOBLE CABINA PICK UP A/C,1200,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
ZZ-8498,4,2021-03-10,2021,Pago Fisico,Total,HB197012206,COYHAIQUE,RIO IBAÑEZ,25489,25489,2006,AUTOMOVIL,RENAULT,CLIO HATCHBACK EXPRESSION,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FSLK-85,8,2021-09-23,2021,Pago Fisico,Total,SU091001613,COYHAIQUE,RIO IBAÑEZ,25489,28366,2013,STATION WAGON,GREAT WALL,HAVAL3,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BFFJ-99,8,2021-07-13,2021,Pago Fisico,Total,SU166000496,COYHAIQUE,RIO IBAÑEZ,25489,27343,1996,STATION WAGON,MITSUBISHI,MONTERO 3.0 IE,3000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JYGS-43,2,2021-04-12,2021,Pago Fisico,Total,CT160012618,COYHAIQUE,RIO IBAÑEZ,139199,141287,2018,CAMIONETA,MAZDA,BT50 D/C SDX HIGH 4X4 E5,3200,Full,Dies,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HCYK-71,5,2021-03-31,2021,Pagado internet,1ra. Cuota,SU227033415,DOÑIHUE,RIO IBAÑEZ,129488,64744,2015,STATION WAGON,SUBARU,XV,2000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
HCYK-71,5,2021-09-06,2021,Pagado internet,2da. Cuota,SU227033415,DOÑIHUE,RIO IBAÑEZ,129488,67103,2015,STATION WAGON,SUBARU,XV,2000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CFGX-43,1,2021-05-24,2021,Pagado internet,Total,HB235002810,LA REINA,RIO IBAÑEZ,39410,40835,2010,AUTOMOVIL,TOYOTA,YARIS,1300,Equi,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GHZB-11,7,2021-03-11,2021,Pagado internet,1ra. Cuota,CT243004214,LAMPA,RIO IBAÑEZ,163830,81915,2014,CAMIONETA,VOLKSWAGEN,AMAROK,2000,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
GHZB-11,7,2021-08-26,2021,Pagado internet,2da. Cuota,CT243004214,LAMPA,RIO IBAÑEZ,163830,82980,2014,CAMIONETA,VOLKSWAGEN,AMAROK,2000,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
YF-4183,9,2021-03-11,2021,Pagado internet,Total,SU227018305,LAS CONDES,RIO IBAÑEZ,39410,39410,2005,AUTOMOVIL,SUBARU,IMPREZA 2.0I 4D AWD T.WRX,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GRYK-27,4,2021-03-31,2021,Pagado internet,1ra. Cuota,SU111012615,LAS CONDES,RIO IBAÑEZ,190008,95004,2015,STATION WAGON,HYUNDAI,SANTA FE,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
GRYK-27,4,2021-08-31,2021,Pagado internet,2da. Cuota,SU111012615,LAS CONDES,RIO IBAÑEZ,190008,96239,2015,STATION WAGON,HYUNDAI,SANTA FE,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FLBT-79,1,2021-03-31,2021,Pagado internet,1ra. Cuota,CT176029313,LAS CONDES,RIO IBAÑEZ,86699,43350,2013,CAMIONETA,NISSAN,TERRANO,2500,Norm,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
FLBT-79,1,2021-09-06,2021,Pagado internet,2da. Cuota,CT176029313,LAS CONDES,RIO IBAÑEZ,86699,44928,2013,CAMIONETA,NISSAN,TERRANO,2500,Norm,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LGYR-15,0,2021-09-06,2021,Pagado internet,Total,NULL,LAS CONDES,RIO IBAÑEZ,78242,78242,2019,TRACTOCAMION,FREIGHTLINER,M 2 112,NULL,NORM,DIES,MEC,19219,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
TC-1498,9,2021-04-01,2021,Pagado internet,Total,NULL,LAS CONDES,RIO IBAÑEZ,25489,25923,1999,STATION WAGON,HONDA,CRV 2.0 AUT,2000,AUT,FULL,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GHBR-97,7,2021-03-22,2021,Pagado internet,Total,HB235005514,LAS CONDES,RIO IBAÑEZ,112317,112317,2014,AUTOMOVIL,TOYOTA,PRIUS,1500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HHBT-62,0,2021-04-05,2021,Pagado internet,Total,SD111031616,LAS CONDES,RIO IBAÑEZ,65243,66222,2016,AUTOMOVIL,HYUNDAI,I-10,1200,NULL,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GPRW-26,1,2021-03-30,2021,Pago Fisico,1ra. Cuota,SD158002814,LAS CONDES,RIO IBAÑEZ,569554,284777,2014,AUTOMOVIL,MASERATI,GHIBLI,3000,Full,Diés,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
KJHH-15,0,2021-03-30,2021,Pago Fisico,1ra. Cuota,SU113001118,LAS CONDES,RIO IBAÑEZ,134836,67418,2018,STATION WAGON,INFINITI,QX30 2.0 T,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
KJHH-15,0,2021-08-23,2021,Pago Fisico,2da. Cuota,SU113001118,LAS CONDES,RIO IBAÑEZ,134836,68773,2018,STATION WAGON,INFINITI,QX30 2.0 T,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
XK-2877,4,2021-03-30,2021,Pago Fisico,1ra. Cuota,SD158000104,LAS CONDES,RIO IBAÑEZ,173586,86793,2004,AUTOMOVIL,MASERATI,COUPE CAMBIOCORSA,4200,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
XK-2877,4,2021-08-23,2021,Pago Fisico,2da. Cuota,SD158000104,LAS CONDES,RIO IBAÑEZ,173586,87921,2004,AUTOMOVIL,MASERATI,COUPE CAMBIOCORSA,4200,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FRPY-14,5,2021-03-30,2021,Pago Fisico,1ra. Cuota,SD113001013,LAS CONDES,RIO IBAÑEZ,231292,115646,2013,AUTOMOVIL,INFINITI,Q70,3700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
FRPY-14,5,2021-08-23,2021,Pago Fisico,2da. Cuota,SD113001013,LAS CONDES,RIO IBAÑEZ,231292,117969,2013,AUTOMOVIL,INFINITI,Q70,3700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DSDT-37,6,2021-03-30,2021,Pago Fisico,1ra. Cuota,CT235013112,LAS CONDES,RIO IBAÑEZ,208867,104434,2012,CAMIONETA,TOYOTA,TUNDRA 4X4 CUERO,5700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
DSDT-37,6,2021-08-23,2021,Pago Fisico,2da. Cuota,CT235013112,LAS CONDES,RIO IBAÑEZ,208867,106530,2012,CAMIONETA,TOYOTA,TUNDRA 4X4 CUERO,5700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GGVV-18,3,2021-03-30,2021,Pago Fisico,1ra. Cuota,SD192011514,LAS CONDES,RIO IBAÑEZ,477005,238503,2014,AUTOMOVIL,PORSCHE,CAYMAN 981,2700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
GGVV-18,3,2021-08-23,2021,Pago Fisico,2da. Cuota,SD192011514,LAS CONDES,RIO IBAÑEZ,477005,243292,2014,AUTOMOVIL,PORSCHE,CAYMAN 981,2700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HRHL-16,8,2021-03-30,2021,Pago Fisico,1ra. Cuota,VN235007116,LAS CONDES,RIO IBAÑEZ,360664,180332,2016,STATION WAGON,TOYOTA,4RUNNER,4000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
HRHL-16,8,2021-08-23,2021,Pago Fisico,2da. Cuota,VN235007116,LAS CONDES,RIO IBAÑEZ,360664,183954,2016,STATION WAGON,TOYOTA,4RUNNER,4000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BBG-030,8,2021-07-30,2021,Pagado internet,Total,MT032005815,LO BARNECHEA,RIO IBAÑEZ,34788,37317,2015,MOTO,B.M.W,G,650,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LPYY-58,K,2021-03-31,2021,Pagado internet,1ra. Cuota,SU013006919,LO BARNECHEA,RIO IBAÑEZ,581343,290672,2019,STATION WAGON,AUDI,Q3,2000,Full,Diés,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
BYYZ-99,0,2021-03-31,2021,Pagado internet,Total,VN235003609,LO BARNECHEA,RIO IBAÑEZ,116540,116540,2009,STATION WAGON,TOYOTA,LAND CRUISER,4000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LJRH-32,2,2021-03-31,2021,Pagado internet,1ra. Cuota,HB160007519,LO BARNECHEA,RIO IBAÑEZ,188882,94441,2019,AUTOMOVIL,MAZDA,MAZDA3,2000,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
JVYF-62,8,2021-03-30,2021,Pagado internet,Total,HB229013517,MACUL,RIO IBAÑEZ,32091,32091,2017,AUTOMOVIL,SUZUKI,ALTO,800,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KXYL-99,1,2021-05-31,2021,Pagado internet,Total,HB229015419,PROVIDENCIA,RIO IBAÑEZ,127518,132131,2019,AUTOMOVIL,SUZUKI,BALENO,1400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
SZ-7715,4,2021-03-30,2021,Pagado internet,Total,CT235003599,PROVIDENCIA,RIO IBAÑEZ,25489,25489,1999,CAMIONETA,TOYOTA,HILUX,2400,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGBW-51,0,2021-03-22,2021,Pagado internet,Total,CT160012018,PROVIDENCIA,RIO IBAÑEZ,105280,105280,2018,CAMIONETA,MAZDA,BT50,2200,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HYYF-26,1,2021-03-30,2021,Pago Fisico,Total,CT235013616,RIO IBAÑEZ,RIO IBAÑEZ,103732,103732,2016,CAMIONETA,TOYOTA,HILUX DCAB TDI 4X4 2.4,3000,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CKZX-25,3,2021-06-08,2021,Pagado internet,Total,VN166004310,PUERTO CISNES,RIO IBAÑEZ,28477,30026,2010,STATION WAGON,MITSUBISHI,MONTERO,3200,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FBWS-74,5,2021-03-31,2021,Pagado internet,Total,SU225006813,PUERTO MONTT,RIO IBAÑEZ,75628,75628,2013,STATION WAGON,SSANGYONG,KORANDO XDI 4X2 (KC 2110),2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GZSX-47,7,2021-03-31,2021,Pagado internet,Total,CT080005916,PUERTO NATALES,RIO IBAÑEZ,41192,41192,2016,CAMIONETA,FOTON,TERRACOTA,2800,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KWBW-96,5,2021-03-31,2021,Pagado internet,Total,HB229012819,PUERTO VARAS,RIO IBAÑEZ,72813,72813,2019,AUTOMOVIL,SUZUKI,SWIFT,1200,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GHJW-62,2,2021-03-30,2021,Pagado internet,Total,SU229024114,PUERTO VARAS,RIO IBAÑEZ,86887,86887,2014,JEEP,SUZUKI,GRAND VITARA,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CCRK-67,K,2021-03-30,2021,Pago Fisico,1ra. Cuota,SU227022509,LAS CONDES,RIO IBAÑEZ,97680,48840,2009,AUTOMOVIL,SUBARU,IMPREZA 2.5 AWD WRX STI,2500,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
CCRK-67,K,2021-08-23,2021,Pago Fisico,2da. Cuota,SU227022509,LAS CONDES,RIO IBAÑEZ,97680,49821,2009,AUTOMOVIL,SUBARU,IMPREZA 2.5 AWD WRX STI,2500,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
SC-2329,3,18-06-2021,2021,Pagado internet,Total,SU229003498,RIO IBAÑEZ,RIO IBAÑEZ,25489,26875,1998,JEEP,SUZUKI,SAMURAI II T.MET.,1300,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BBTJ-88,9,2021-09-08,2021,Pagado internet,Total,CT235003797,RIO IBAÑEZ,RIO IBAÑEZ,25489,28366,1997,CAMIONETA,TOYOTA,HILUX C/S STD,2400,Norm,Benc,Mec,2000,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
